Force X (N),Force Y (N),Force Z (N),Torque X (N-m),Torque Y (N-m),Torque Z (N-m),Frequency = 1000,Averaging Level = 16,F/T Serial Number = FT18766,Time Started = 2020-02-27 11:16:52 AM
-0.564537346,-60.75502777,-42.64439774,6.243254185,-0.148097396,-0.381663591,,,,
-0.487933815,-60.70055389,-43.34134293,6.288253307,-0.178867951,-0.377180427,,,,
-0.29920572,-60.58875275,-43.35041428,6.273321152,-0.094285905,-0.373688757,,,,
-0.544364214,-60.36273956,-43.0303154,6.271007061,-0.147333756,-0.355059773,,,,
-0.265374422,-60.18440628,-43.63099289,6.282186985,-0.031257823,-0.385014385,,,,
-0.380464762,-60.1765976,-44.35036469,6.269715786,-0.041903637,-0.36471203,,,,
-0.302508444,-59.91247177,-43.94613266,6.263417244,-0.196289927,-0.428274065,,,,
-0.144069746,-59.80055237,-44.4630928,6.257619858,-0.168555394,-0.412002593,,,,
-0.274711788,-59.6180954,-45.21453094,6.284335136,-0.156439826,-0.393670857,,,,
-0.09247157,-59.43980408,-45.77648544,6.298108578,-0.112196021,-0.403470814,,,,
-0.118244752,-59.27321625,-45.99810028,6.301875114,-0.149043322,-0.425103545,,,,
-0.376980275,-58.90345001,-46.58333206,6.331950188,-0.251329094,-0.421835899,,,,
-0.175656199,-59.08395004,-47.3388176,6.358911037,-0.16088219,-0.445801914,,,,
-0.252734691,-59.19140244,-47.78881454,6.434971809,-0.069215894,-0.414225608,,,,
-0.449925721,-59.41952896,-46.94179535,6.460311413,-0.048739947,-0.418482661,,,,
-0.290883005,-59.17173767,-47.88507843,6.453081131,-0.098381206,-0.438672334,,,,
-0.176430404,-58.87894058,-48.0786438,6.464109898,-0.092254624,-0.436651021,,,,
-0.208162963,-58.69260406,-49.59731293,6.537128925,-0.134211659,-0.446922451,,,,
-0.250463873,-58.68481445,-50.89014816,6.588929176,-0.135099158,-0.423457623,,,,
-0.13473852,-59.11758041,-48.6061554,6.520896435,-0.29503423,-0.429405153,,,,
-0.13829717,-59.76140594,-45.98316956,6.447271347,-0.419418991,-0.425015837,,,,
-0.108296737,-59.46164322,-46.87887192,6.460893631,-0.471598715,-0.45899561,,,,
0.161362186,-58.77159119,-48.84708023,6.492527485,-0.470896095,-0.433178872,,,,
0.264674455,-58.58625793,-49.55070877,6.49309063,-0.415723145,-0.376675308,,,,
0.059436724,-58.95478821,-48.10441208,6.426521301,-0.443624407,-0.378104627,,,,
0.133246109,-59.07629013,-47.91620255,6.406538486,-0.489730567,-0.369712025,,,,
0.311696351,-59.14286804,-47.8496933,6.373136044,-0.493649304,-0.372258782,,,,
0.074875183,-59.42043686,-47.21440125,6.3671875,-0.556657314,-0.370343089,,,,
-0.183798954,-59.96583557,-45.44135666,6.235848904,-0.194376841,-0.413409084,,,,
-0.386420786,-59.97821045,-44.19298553,6.197854996,-0.161363676,-0.272600621,,,,
-0.424910069,-59.55487823,-45.68139648,6.290332794,-0.188067198,-0.320692986,,,,
-0.479997277,-59.39059448,-47.34996033,6.27930069,-0.211161315,-0.325567514,,,,
-0.247885332,-59.28701782,-47.04678345,6.289566994,-0.126606226,-0.285350412,,,,
-0.312250525,-59.37677765,-45.87994385,6.288675785,-0.039394539,-0.268655241,,,,
